@relation arrffFile18-35

@attribute ΓΛΥΚΑ {t}
@attribute ΔΗΜΗΤΡΙΑΚΑ {t}
@attribute ΚΟΝΣΕΡΒΕΣ {t}
@attribute ΒΙΟΛΟΓΙΚΑ {t}
@attribute 'ΦΡΟΥΤΑ & ΛΑΧΑΝΙΚΑ' {t}
@attribute ΜΠΑΧΑΡΙΚΑ {t}
@attribute ΚΑΘΑΡΙΟΤΗΤΑ {t}
@attribute ΛΑΔΙΑ {t}
@attribute ΖΥΜΑΡΙΚΑ {t}
@attribute ΧΑΡΤΙΚΑ {t}
@attribute ΚΑΘΑΡΙΣΤΙΚΑ {t}
@attribute 'ΑΛΟΙΦΕΣ & ΣΑΛΤΣΕΣ' {t}
@attribute ΤΑΜΕΙΟΥ {t}
@attribute ΡΟΥΧΑ {t}
@attribute ΥΓΙΕΙΝΗ {t}
@attribute 'ΓΛΥΚΕΣ ΑΛΟΙΦΕΣ' {t}
@attribute ΣΝΑΚ {t}
@attribute ΓΑΛΑΚΤΟΚΟΜΙΚΑ {t}
@attribute 'ΕΙΔΗ ΣΠΙΤΙΟΥ' {t}
@attribute ΑΛΚΟΟΛΟΥΧΑ {t}
@attribute 'ΜΗ-ΑΛΚΟΟΛΟΥΧΑ ΠΟΤΑ' {t}
@attribute ΕΠΙΣΚΕΥΕΣ {t}
@attribute ΚΡΕΑΤΙΚΑ {t}
@attribute ΚΑΛΛΥΝΤΙΚΑ {t}
@attribute ΚΑΤΟΙΚΙΔΙΑ {t}
@attribute ΑΥΓΑ {t}
@attribute ΑΡΤΟΠΟΙΙΑ {t}
@attribute ΚΑΤΕΨΥΓΜΕΝΑ {t}
@attribute ΚΗΠΟΣ {t}
@attribute ΨΩΜΙΑ {t}
@attribute ΤΥΡΟΚΟΜΙΚΑ {t}

@data
?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?
t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?
?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,t,t,?,?,?,t,?,?,?,?,?
t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,t
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,?,?,?
?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?
?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?
?,?,?,?,t,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,t,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
