BestProducts on summer period 22/23
BestProduct 1:  γάλα μη αποβουτυρωμένο,553
BestProduct 2:  άλλα λαχανικά,430
BestProduct 3:  ρολά/ψωμάκια,350
BestProduct 4:  σόδα,329
BestProduct 5:  γιαούρτι,308
BestProduct 6:  ριζώδη λαχανικά,236
BestProduct 7:  τροπικά φρούτα,211
BestProduct 8:  λουκάνικο,204
BestProduct 9:  εμφιαλωμένο νερό,197
BestProduct 10:  ζύμη,181
BestProduct 11:  εσπεριδοειδή,177
BestProduct 12:  τσάντες αγορών,170
BestProduct 13:  κονσερβοποιημένη μπύρα,165
BestProduct 14:  φρούτα με κουκούτσι,153
BestProduct 15:  εμφιαλωμένη μπύρα,149
BestProduct 16:  εφημερίδες,139
BestProduct 17:  ντόπια αυγά,130
BestProduct 18:  λουκάνικο φρανκφούρτης,128
BestProduct 19:  χοιρινό,124
BestProduct 20:  καφές,123
BestProduct 21:  σαντιγί,123
BestProduct 22:  βούτυρο,120
BestProduct 23:  τυρόγαλο,114
BestProduct 24:  βοδινό κρέας,110
BestProduct 25:  μαύρο ψωμί,109
BestProduct 26:  τυρί κρέμα,109
BestProduct 27:  χυμός φρούτων/λαχανικών,107
BestProduct 28:  κοτόπουλο,105
BestProduct 29:  μαργαρίνη,102
BestProduct 30:  σοκολάτα,95
BestProduct 31:  άσπρο ψωμί,86
BestProduct 32:  κατεψυγμένα λαχανικά,83
BestProduct 33:  γάλα μακράς διάρκειας,81
BestProduct 34:  κρέας για μπέργκερ,81
BestProduct 35:  κρεμμύδια,76
BestProduct 36:  ξινόγαλο,72
BestProduct 37:  ζάχαρη,71
BestProduct 38:  μούρα,71
BestProduct 39:  χαρτοπετσέτες,71
BestProduct 40:  επιδόρπιο,69
BestProduct 41:  σοκολάτα ντελικατέσεν,63
BestProduct 42:  ζαμπόν,62
BestProduct 43:  αλμυρό σνακ,58
BestProduct 44:  παγωτό,56
BestProduct 45:  προϊόν αρτοποιίας μακράς διαρκείας,56
BestProduct 46:  ποτά,56
BestProduct 47:  διάφορα ποτά,55
BestProduct 48:  σκληρό τυρί,54
BestProduct 49:  βάφλες,53
BestProduct 50:  κατεψυγμένα γεύματα,51
BestProduct 51:  κρέας,51
BestProduct 52:  προιόντα υγιεινής,50
BestProduct 53:  λευκό κρασί,50
BestProduct 54:  σταφύλια,49
BestProduct 55:  τσίχλα,47
BestProduct 56:  γατοτροφή,46
BestProduct 57:  καραμέλα,43
BestProduct 58:  φέτες τυριού,42
BestProduct 59:  ποτά ντελικατέσεν,41
BestProduct 60:  λάδι,40
BestProduct 61:  βότανα,37
BestProduct 62:  λαχανικά τουρσί,37
BestProduct 63:  συσκευασμένα φρούτα/λαχανικά,36
BestProduct 64:  κόκκινο/ροζέ κρασί,36
BestProduct 65:  μαλακό τυρί,34
BestProduct 66:  μεταποιημένο τυρί,31
BestProduct 67:  πιάτα,31
BestProduct 68:  τυρί για άλειμμα,29
BestProduct 69:  μπέικιν πάουντερ,28
BestProduct 70:  ημιψημένο ψωμί,28
BestProduct 71:  αλεύρι,27
BestProduct 72:  κονσερβοποιημένο ψάρι,27
BestProduct 73:  απορρυπαντικό,27
BestProduct 74:  εποχιακά προϊόντα,27
BestProduct 75:  γλάστρες,26
BestProduct 76:  κατεψυγμένα ψάρια,26
BestProduct 77:  ζυμαρικά,24
BestProduct 78:  γλυκά για άλειμμα,24
BestProduct 79:  υγρό,22
BestProduct 80:  τυρί ντελικατέσεν,22
BestProduct 81:  αλάτι,21
BestProduct 82:  φωτογραφία/ταινία,21
BestProduct 83:  ρούχα,21
BestProduct 84:  καθαριστικό πιάτων,20
BestProduct 85:  κατεψυγμένα προϊόντα πατάτας,20
BestProduct 86:  μπάρα δημητριακών,20
BestProduct 87:  φροντίδα κατοικίδιου,19
BestProduct 88:  συμπυκνωμένο γάλα,19
BestProduct 89:  γαλοπούλα,18
BestProduct 90:  κονσερβοποιημένα λαχανικά,18
BestProduct 91:  στιγμιαίος καφές,18
BestProduct 92:  προϊόντα σε ρολό,17
BestProduct 93:  μουστάρδα,17
BestProduct 94:  λικέρ (ορεκτικό),16
BestProduct 95:  σοκολάτα υγείας,16
BestProduct 96:  παγωμένο επιδόρπιο,15
BestProduct 97:  λουλούδια (σπόροι),14
BestProduct 98:  παξιμάδι,13
BestProduct 99:  έτοιμα προϊόντα διατροφής,13
BestProduct 100:  μαγιονέζα,12
BestProduct 101:  κεριά,12
BestProduct 102:  συκώτι,12
BestProduct 103:  προϊόντα οικιακής χρήσης,12
BestProduct 104:  γυναικεία είδη υγιεινής,12
BestProduct 105:  δημητριακά,12
BestProduct 106:  ποπ κορν,12
BestProduct 107:  σκυλοτροφή,11
BestProduct 108:  ανδρικά καλλυντικά,11
BestProduct 109:  ρύζι,10
BestProduct 110:  σάλτσες,10
BestProduct 111:  ξύδι,10
BestProduct 112:  σούπες,9
BestProduct 113:  κρέας για άλειμμα,9
BestProduct 114:  φροντίδα δέρματος,9
BestProduct 115:  πετσέτες κουζίνας,9
BestProduct 116:  μεμβράνη/σακούλες φαγητού,9
BestProduct 117:  καθαριστικό,9
BestProduct 118:  ψάρι,9
BestProduct 119:  λίπος ντελικατέσεν,8
BestProduct 120:  τσάι,8
BestProduct 121:  ρούμι,8
BestProduct 122:  τεχνητή γλυκαντική ουσία,8
BestProduct 123:  ξηροί καρποί,7
BestProduct 124:  λίπασμα για λουλούδια,7
BestProduct 125:  έτοιμες σούπες,7
BestProduct 126:  μεζέδες,7
BestProduct 127:  μπαχαρικά,7
BestProduct 128:  σοκολάτα κουβερτούρα,7
BestProduct 129:  διαβρωτικό/καθαριστικό,7
BestProduct 130:  κονιάκ,6
BestProduct 131:  μαλακτικό,6
BestProduct 132:  σιρόπι,6
BestProduct 133:  κρασί prosecco,6
BestProduct 134:  μαρμελάδα,6
BestProduct 135:  καθαριστικό μπάνιου,5
BestProduct 136:  βιολογικό λουκάνικο,5
BestProduct 137:  προϊόντα πατάτας,5
BestProduct 138:  αφρώδες κρασί,5
BestProduct 139:  προϊόντα σνακ,5
BestProduct 140:  σνακ,5
BestProduct 141:  οδοντιατρική φροντίδα,5
BestProduct 142:  λαχανικά ντελικατέσεν,4
BestProduct 143:  φρούτα σε κονσέρβα,4
BestProduct 144:  ποτά κακάου,4
BestProduct 145:  κρέμα,4
BestProduct 146:  μέλι,4
BestProduct 147:  λάμπες,4
BestProduct 148:  βιολογικά προϊόντα,4
BestProduct 149:  πουτίγκα σε σκόνη,3
BestProduct 150:  σαπούνι,3
BestProduct 151:  μαγειρικά σκεύη,3
BestProduct 152:  αφαλατωτής,3
BestProduct 153:  λικέρ,2
BestProduct 154:  κατεψυγμένα φρούτα,2
BestProduct 155:  κατεψυγμένο κοτόπουλο,2
BestProduct 156:  κέτσαπ,2
